Total_Cases,No_of_Strains
0,2
0,2
547,1
0,2
0,2
2,1
3,1
8,1
0,1
0,1
9,2
9,2
0,1
19,1
12,1
0,1
30553,1
0,1
23,1
15,1
3,1
57,1
0,1
15,1
15,1
3,1
4,1
1261,1
0,1
3,1
0,1
15,1
32,1
1,1
1,1
10,1
18,2
18,2
0,1
42,1
44,1
0,1
616,1
1,1
500,1
1,1
9,1
1,1
99,1
19,1
151,1
80,1
50,1
4,1
250,1
38,1
10,1
361,1
119,1
86,2
86,2
0,1
17,1
0,1
1,1
893,1
117,1
8320,1
2700,1
0,2
0,2
372,1
265,1
145,1
147,1
36,1
681,1
69,1
157,1
793,1
256,1
49,1
39,1
0,2
0,2
52,1
687,1
1,1
30,1
1924,2
1924,2
102,2
102,2
562,1
48,1
154,1
155,1
2364,3
2364,3
2364,3
1197,1
205,3
205,3
205,3
0,2
0,2
2810,1
283,4
283,4
283,4
283,4
1665,1
494,1
368,1
2015,1
1638,2
1638,2
97689,1
42,1
152,1
556,1
589,1
0,1
4559,1
28,1
1,1
143,1
394,1
654,1
708,5
708,5
708,5
708,5
708,5
1323,3
1323,3
1323,3
423,1
0,2
0,2
8,1
5116,1
83304,1
1161,1
1319,1
797,1
0,1
3843,1
3018,1
5550,2
5550,2
950,1
4665,1
26,1
9,1
0,1
171,1
6951,1
7519,1
18328,1
28320,1
8712,1
1386,1
7582,1
26336,1
7025,1
33682,1
6568,1
420,1
10,1
6630,1
143457,1
183957,1
11155,1
36608,1
54043,1
336,1
12723,1
1279,1
1470,2
1470,2
18863,3
18863,3
18863,3
0,1
15492,1
0,1
93,1
73235,2
73235,2
1072,1
7103,1
5268,1
17702,1
24934,1
18114,1
6778,2
6778,2
566,1
95646,1
14558,1
0,1
40,1
42534,1
124054,1
0,2
0,2
6822,1
15061,1
217466,1
47372,2
47372,2
115455,3
115455,3
115455,3
51189,1
6894,1
25826,1
54817,1
6913,1
15553,1
607,1
30126,1
167300,1
1492,1
33855,1
36710,1
39370,1
2374,1
203165,2
203165,2
16096,1
0,1
6652,1
7805,1
230477,1
150593,1
14229,1
6269,1
44965,1
2270,1
944,1
1504,1
1010,1
72560,1
0,1
97183,1
0,1
69496,2
69496,2
1076,1
47153,1
203,1
27536,1
80463,1
85264,1
20197,5
20197,5
20197,5
20197,5
20197,5
621002,1
440538,1
11668,1
25986,2
25986,2
171452,5
171452,5
171452,5
171452,5
171452,5
743917,1
1667,1
297535,1
0,1
12193,1
4532,1
19136,1
4501,1
186461,1
1506,1
12426,1
12294,1
1509,1
108775,1
1511,1
187685,1
0,1
1515,1
7521,1
49009,1
264689,1
1236752,1
7834,1
1372989,1
12751,2
12751,2
6190,1
36438,3
36438,3
36438,3
7920,1
285213,1
1265,1
12636,1
288477,1
8066,1
292004,1
0,1
295599,1
299080,2
299080,2
719664,1
46333,1
1205,1
0,1
9056,1
1403,1
1543,1
1867976,1
1547,1
997,5
997,5
997,5
997,5
997,5
34259,1
200260,1
61266,1
33290,1
202066,1
218717,1
12069,1
12428,1
2124152,4
2124152,4
2124152,4
2124152,4
74620,1
244624,1
21253,1
28989,1
1556,1
5039,1
14935,1
15303,1
92947,1
1857,1
32092,1
272590,1
0,1
0,1
4186,1
0,1
18730,1
37812,1
297054,1
0,2
0,2
20272,1
49515,1
314362,2
314362,2
895691,1
291468,1
1602,2
1602,2
23287,1
253438,1
516296,1
1649,1
541493,1
1470,1
549321,1
0,1
42319,1
59890,1
1510,1
558420,1
30209,1
24602,1
567059,1
1674,1
3608459,1
327222,1
30974,1
239507,1
0,1
98497,1
0,1
1738,2
1738,2
5576,1
1757,1
0,1
44271,1
0,1
44845,1
